City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,rikitea,PF,73.72,light rain,-23.1203,-134.9692,People ThankYou
5,ternate,ID,81.52,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
6,kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
8,avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
17,hilo,US,75.61,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
20,porto novo,BJ,81.9,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
22,farafangana,MG,71.1,heavy intensity rain,-22.8167,47.8333,Miarina
23,turayf,SA,72.21,clear sky,31.6725,38.6637,Turaif
26,fare,PF,78.6,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
30,winneba,GH,81.57,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
31,ratnagiri,IN,77.25,clear sky,16.9833,73.3,Hotel Landmark
33,san patricio,US,71.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
34,mkushi,ZM,78.53,broken clouds,-13.6202,29.3939,Mkushi Police Club
37,oussouye,SN,87.8,scattered clouds,12.485,-16.5469,Auberge du Routard
39,savannah bight,HN,81.0,light rain,16.45,-85.85,Villa on Dunbar Rock
40,souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,port elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
43,saint-philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le four à pain
45,victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Central
46,qui nhon,VN,75.24,overcast clouds,13.7667,109.2333,Seagull Hotel
49,morondava,MG,78.85,clear sky,-20.2833,44.2833,La Case Bambou
57,phon,TH,72.82,overcast clouds,15.816,102.5998,Baan Kru Tum Chiang Khan
61,carutapera,BR,89.71,overcast clouds,-1.195,-46.02,Lidera
62,ponta do sol,PT,76.01,light rain,32.6667,-17.1,Hotel do Campo
65,saint-pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Alize Plage
66,castro,BR,78.1,very heavy rain,-24.7911,-50.0119,CHACARA BAILLY
67,mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,george town,MY,82.24,light rain,5.4112,100.3354,Cititel Penang
76,kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
79,cabo san lucas,MX,85.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
81,kapaa,US,74.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
82,tombouctou,ML,88.14,clear sky,20.0,-3.0,
84,gerash,IR,73.54,clear sky,27.6652,54.1371,Sa'adat House Gerash
85,port alfred,ZA,70.21,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
86,butaritari,KI,81.16,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
87,pyapon,MM,75.92,few clouds,16.2833,95.6833,Aung Naing Thu Motel
89,ambilobe,MG,76.5,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
91,atuona,PF,77.11,clear sky,-9.8,-139.0333,Villa Enata
92,puerto carreno,CO,87.49,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
93,meulaboh,ID,76.8,overcast clouds,4.1363,96.1285,Kost Pria
94,hithadhoo,MV,78.12,overcast clouds,-0.6,73.0833,Scoop Guest House
105,mayumba,GA,78.64,broken clouds,-3.432,10.6554,LIKWALE LODGE
106,pawayan,IN,70.02,clear sky,28.0667,80.1,SBM TOILET
107,diu,IN,77.31,clear sky,20.7141,70.9822,Hotel Relax Inn
108,mier,MX,71.01,clear sky,26.4333,-99.15,Mier 09
109,tefe,BR,87.91,light rain,-3.3542,-64.7114,Aracati Hotel
115,ariquemes,BR,82.4,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
118,sur,OM,77.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
122,davila,PH,78.76,heavy intensity rain,18.4726,120.5763,Blue Ridge Beach Resort
123,dingle,PH,77.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
125,bambous virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
128,arraial do cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
132,isla vista,US,79.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
136,sorong,ID,80.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
139,dhari,IN,75.79,clear sky,21.3333,71.0167,Anand pan & coldrinks
144,jambi,ID,74.75,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
145,tabou,CI,80.64,light rain,4.423,-7.3528,hotêl doufoulougou
146,arteaga,MX,72.12,broken clouds,18.4667,-102.4167,
151,grand-santi,GF,82.74,light rain,4.25,-54.3833,Hotel La Villa Couacou
153,boa vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
155,puerto ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
157,buenos aires,AR,85.89,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
158,cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
164,mersing,MY,76.91,heavy intensity rain,2.4312,103.8405,Timotel Hotel
167,poum,NC,78.01,clear sky,-20.2333,164.0167,
173,lukulu,ZM,83.05,broken clouds,-14.3707,23.242,Ruth Guest House
174,aswan,EG,81.43,few clouds,24.0934,32.907,Nuba Nile
178,la orilla,MX,84.36,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
179,bahia blanca,AR,72.46,few clouds,-38.7196,-62.2724,Hotel Argos
