City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,rikitea,PF,-23.1203,-134.9692,73.72,79,100,7.36,light rain
1,ushuaia,AR,-54.8,-68.3,38.86,93,100,23.02,light rain
2,mataura,NZ,-46.1927,168.8643,47.48,98,54,3.11,broken clouds
3,airai,TL,-8.9266,125.4092,61.86,93,97,0.74,overcast clouds
4,albany,US,42.6001,-73.9662,58.64,48,0,1.79,clear sky
5,ternate,ID,0.8,127.4,81.52,78,91,1.61,overcast clouds
6,kahului,US,20.8947,-156.47,78.84,75,20,6.91,few clouds
7,ushibuka,JP,32.1906,130.0228,61.66,71,2,9.71,clear sky
8,avarua,CK,-21.2078,-159.775,73.45,73,75,6.91,broken clouds
9,tandil,AR,-37.3217,-59.1332,66.69,38,31,15.08,scattered clouds
10,torrington,US,41.8007,-73.1212,60.67,36,10,3.0,clear sky
11,longyearbyen,SJ,78.2186,15.6401,22.84,68,40,11.5,scattered clouds
12,hobart,AU,-42.8794,147.3294,44.26,83,75,3.44,broken clouds
13,bulgan,MN,48.8125,103.5347,29.12,91,86,3.47,overcast clouds
14,bluff,NZ,-46.6,168.3333,47.8,93,49,4.25,scattered clouds
15,provideniya,RU,64.3833,-173.3,14.65,85,93,9.19,overcast clouds
16,medicine hat,CA,50.0501,-110.6683,50.72,51,36,7.0,scattered clouds
17,hilo,US,19.7297,-155.09,75.61,84,0,5.99,clear sky
18,nioro,GM,13.35,-15.75,92.82,44,42,2.06,scattered clouds
19,roma,US,43.2128,-75.4557,60.73,38,3,3.13,clear sky
20,porto novo,BJ,6.4965,2.6036,81.9,74,82,7.49,broken clouds
21,lagoa,PT,39.05,-27.9833,62.64,63,95,14.05,overcast clouds
22,farafangana,MG,-22.8167,47.8333,71.1,91,96,4.34,heavy intensity rain
23,turayf,SA,31.6725,38.6637,72.21,31,3,15.97,clear sky
24,bethel,US,41.3712,-73.414,60.39,43,0,4.61,clear sky
25,norman wells,CA,65.282,-126.8329,15.84,100,100,2.3,light snow
26,fare,PF,-16.7,-151.0167,78.6,79,44,14.09,light rain
27,hermanus,ZA,-34.4187,19.2345,64.8,81,100,7.76,overcast clouds
28,port hardy,CA,50.6996,-127.4199,48.38,100,100,6.91,overcast clouds
